INT	STRING	STRING	INT	STRING	INT	INT	
56	169	zeppelin_housing	5	listSequence:500:45:150:255:330:410	0	0	
57	170	aileron	5	listSequence:100:3:7:12:15:17:22:23:27:30:33:36:40:44:50:53:54:60:63:65:69:71:75:78:79:81:85:89:92:95:96	360	0	
58	171	bombs	5	listSequence:100:1:7:10:21:34:43:58:61:63:75:78:82:88:93:98	720	0	
59	172	pirate_hat	5	listSequence:100:4:9:13:20:22:30:34:39:44:52:56:63:67:71:76:82:89:95:97:99	720	0	
60	200	missileBox	1	listSequence:300:3:15:28:30:54:70:78:87:99:108:120:126:141:165:174:183:192:207:219:234:243:255:264:279:291	0	0	
61	201	misilSet	1	listSequence:50:1:4:5:8:13:16:20:24:25:29:31:34:36:37:41:43:44:46:48:49	0	0	
62	202	propulsors	1	listSequence:300:2:11:24:27:57:68:77:82:94:107:116:124:142:168:176:188:191:212:220:236:247:258:262:273:298	0	0	
63	203	redButton	1	listSequence:100:2:4:6:12:15:17:22:28:30:33:38:42:45:48:52:55:58:64:65:69:71:75:78:79:81:85:89:92:96:97	0	0	
64	208	catapult	1	listSequence:100:3:7:12:15:17:22:23:27:30:33:36:40:44:50:53:54:60:63:65:69:71:75:78:79:81:85:89:92:95:96	0	0	
65	209	rope_catapult	1	listSequence:300:9:18:22:39:54:78:76:86:97:105:124:139:146:162:179:188:192:207:230:242:253:267:276:289:294	0	0	
66	210	stone	1	listSequence:300:9:21:30:38:57:74:77:82:96:101:120:135:148:161:175:184:196:206:227:239:251:263:279:288:297	0	0	
67	211	wood	1	listSequence:300:12:19:25:34:63:71:79:84:98:102:117:127:143:160:172:181:197:208:221:236:248:251:262:281:299	0	0	
68	300	decoration:ancestor	5		0	0	
69	301	decoration:stoneidol	5		0	0	
70	303	alliance building	5		0	0	
71	304	decoration:xmastree	5		0	0	
72	305	decoration:skulltemple	5		0	0	
73	5000	coins	5		0	0	
74	5001	experience	5		0	0	
75	5002	minerals	5		0	0	
76	7000	missile rain	5		0	0	
77	7001	boulder_strike	5		0	0	
78	8000	chips1every50	1	listSequence:100:26:86	0	0	
79	8001	chips1every5	1	listSequence:100:3:7:12:15:17:22:23:27:30:33:36:40:44:50:53:54:60:63:65:69:71:75:78:79:81:85:89:92:95:96	86400	0	
80	120	seed2	5	listSequence:300:2:31:82:169:294	0	0	
81	121	branch1	5	listSequence:100:7:10:17:24:35:41:57:62:64:78:79:86:89:93:98	0	0	
82	122	toymine	5	listSequence:500:45:150:255:330:410	0	0	
83	123	treestar	5	listSequence:500:35:80:140:285:375	0	0	
84	124	present	5	listSequence:300:3:21:84:159:261	0	0	
