INT	INT	INT	INT	STRING	STRING	STRING	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT
1025	3	4	1024					20220			20296	15		31003		3_s.jpg		偷袭珍珠港	战略点5					12	守备军	45	180	0	"80,50,0"	0	
1026	3	3	1024					20299										偷袭珍珠港	战利品					13						0	
1027	3	1	1025					20221					5115			6_s.jpg		偷袭珍珠港	战略点6					13	守备军	50	180	0		0	
1028	3	4	1027					20222			20296	15		31004		4_s.jpg		偷袭珍珠港	战略点7					13	守备军	55	180	0	"80,50,0"	0	
1029	3	1	1028					20223					5117			1_s.jpg		偷袭珍珠港	战略点8					13	守备军	60	180	0		0	
1030	3	4	1029					20224			20296	15		31005		5_s.jpg		偷袭珍珠港	战略点9					14	守备军	65	180	0	"80,50,0"	0	
1031	4	1						20225					5119			2_s.jpg		不列颠之战	战略点1					14	守备军	70	180	0		0	
1032	4	4	1031					20226			20296	15		31006		6_s.jpg		不列颠之战	战略点2					14	守备军	75	180	0	"80,50,0"	0	
1033	4	1	1032					20227					5121			3_s.jpg		不列颠之战	战略点3					15	守备军	80	180	0		0	
1034	4	4	1033					20228			20296	15		31007		1_s.jpg		不列颠之战	战略点4					15	守备军	85	180	0	"80,50,0"	0	
1035	4	1	1034					20229					5123			4_s.jpg		不列颠之战	战略点5					15	守备军	90	180	0		0	
1036	4	2	1035					20316							2			不列颠之战	清理雷区			28800	200	16						0	12
1037	4	3	1036					20300										不列颠之战	战利品					16						0	
1038	4	4	1036					20230			20296	15		31008		2_s.jpg		不列颠之战	战略点6					16	守备军	95	180	0	"80,50,0"	0	
1039	4	1	1038					20231					5125			5_s.jpg		不列颠之战	战略点7					16	守备军	100	180	0		0	
1040	4	4	1039					20232			20296	15		31009		3_s.jpg		不列颠之战	战略点8					17	守备军	105	180	0	"80,50,0"	0	
1041	4	1	1040					20233					5127			6_s.jpg		不列颠之战	战略点9					17	守备军	110	180	0		0	
1042	4	4	1041					20234			20296	15		31010		4_s.jpg		不列颠之战	战略点10					17	守备军	115	180	0	"80,50,0"	0	
1043	5	1						20235					5129			1_s.jpg		莫斯科之战	战略点1					18	守备军	120	180	0		0	
1044	5	4	1043					20236			20296	15		31011		5_s.jpg		莫斯科之战	战略点2					18	守备军	125	180	0	"80,50,0"	0	
1045	5	1	1044					20237					5131			2_s.jpg		莫斯科之战	战略点3					18	守备军	130	180	0		0	
1046	5	4	1045					20238			20296	15		31012		6_s.jpg		莫斯科之战	战略点4					19	守备军	135	180	0	"80,50,0"	0	
1047	5	1	1046					20239					5133			3_s.jpg		莫斯科之战	战略点5					19	守备军	140	180	0		0	
1048	5	2	1047												1			莫斯科之战	破碎的大桥	10000		28800	200	19						2	12
1049	5	3	1048					20301										莫斯科之战	战利品					19						0	
1050	5	4	1048					20240			20296	15		31013		1_s.jpg		莫斯科之战	战略点6					20	守备军	145	180	0	"80,50,0"	0	
1051	5	1	1050					20241					5135			4_s.jpg		莫斯科之战	战略点7					20	守备军	150	180	0		0	
1052	5	4	1051					20242			20296	15		31014		2_s.jpg		莫斯科之战	战略点8					20	守备军	155	180	0	"80,50,0"	0	
1053	5	1	1052					20243					5137			5_s.jpg		莫斯科之战	战略点9					21	守备军	160	180	0		0	
1054	5	4	1053					20244			20296	15		31015		3_s.jpg		莫斯科之战	战略点10					21	守备军	165	180	0	"80,50,0"	0	
1055	5	2	1053					20317							2			莫斯科之战	清理雷区			28800	200	21						0	12
1056	5	3	1055					20302										莫斯科之战	战利品					22						0	
1057	6	1						20245					5139			6_s.jpg		中途岛之战	战略点1					22	守备军	170	180	0		0	
1058	6	4	1057					20246			20296	15		31016		4_s.jpg		中途岛之战	战略点2					22	守备军	175	180	0	"80,50,0"	0	
1059	6	1	1058					20247					5141			1_s.jpg		中途岛之战	战略点3					22	守备军	180	180	0		0	
1060	6	4	1059					20248			20296	15		31017		5_s.jpg		中途岛之战	战略点4					23	守备军	185	180	0	"80,50,0"	0	
1061	6	1	1060					20249					5143			2_s.jpg		中途岛之战	战略点5					23	守备军	190	180	0		0	
1062	6	2	1061					20318							2			中途岛之战	清理雷区			28800	200	23						0	12
1063	6	3	1062					20303										中途岛之战	战利品					24						0	
1064	6	4	1062					20250			20296	15		31018		6_s.jpg		中途岛之战	战略点6					24	守备军	195	180	0	"80,50,0"	0	
1065	6	1	1064					20251					5145			3_s.jpg		中途岛之战	战略点7					24	守备军	200	180	0		0	
1066	6	4	1065					20252			20296	15		31019		1_s.jpg		中途岛之战	战略点8					25	守备军	205	180	0	"80,50,0"	0	
1067	6	1	1066					20253					5147			4_s.jpg		中途岛之战	战略点9					25	守备军	210	180	0		0	
1068	6	2	1067												1			中途岛之战	破碎的大桥	10000		28800	200	25						2	12
1069	6	4	1068					20254			20296	15		31020		2_s.jpg		中途岛之战	战略点10					25	守备军	215	180	0	"80,50,0"	0	
1070	6	3	1068					20304										中途岛之战	战利品					26						0	
1071	7	1						20255					5149			5_s.jpg		瓜岛争夺战	战略点1					26	守备军	220	180	0		0	
1072	7	4	1071					20256			20296	15		31021		3_s.jpg		瓜岛争夺战	战略点2					26	守备军	225	180	0	"80,50,0"	0	
1073	7	1	1072					20257					5151			6_s.jpg		瓜岛争夺战	战略点3					27	守备军	230	180	0		0	
1074	7	4	1073					20258			20296	15		31022		4_s.jpg		瓜岛争夺战	战略点4					27	守备军	235	180	0	"80,50,0"	0	
1075	7	1	1074					20259					5153			1_s.jpg		瓜岛争夺战	战略点5					27	守备军	240	180	0		0	
1076	7	2	1075												1			瓜岛争夺战	破碎的大桥	10000		28800	200	28						2	12
1077	7	3	1076					20305										瓜岛争夺战	战利品					28						0	
1078	7	4	1076					20260			20296	15		31023		5_s.jpg		瓜岛争夺战	战略点6					28	守备军	245	180	0	"80,50,0"	0	
1079	7	1	1078					20261					5155			2_s.jpg		瓜岛争夺战	战略点7					28	守备军	250	180	0		0	
1080	7	4	1079					20262			20296	15		31024		6_s.jpg		瓜岛争夺战	战略点8					29	守备军	255	180	0	"80,50,0"	0	
1081	7	1	1080					20263					5157			3_s.jpg		瓜岛争夺战	战略点9					29	守备军	260	180	0		0	
1082	7	2	1081					20319							2			瓜岛争夺战	清理雷区			28800	200	29						0	12
1083	7	4	1082					20264			20296	15		31025		1_s.jpg		瓜岛争夺战	战略点10					30	守备军	265	180	0	"80,50,0"	0	
1084	7	3	1082					20306										瓜岛争夺战	战利品					30						0	
1085	8	1						20265					5159			4_s.jpg		诺曼底登陆	战略点1					30	守备军	270	180	0		0	
1086	8	4	1085					20266			20296	15		31026		2_s.jpg		诺曼底登陆	战略点2					31	守备军	275	180	0	"80,50,0"	0	
1087	8	1	1086					20267					5066			5_s.jpg		诺曼底登陆	战略点3					31	守备军	280	180	0		0	
1088	8	4	1087					20268			20296	15		31027		3_s.jpg		诺曼底登陆	战略点4					31	守备军	285	180	0	"80,50,0"	0	
1089	8	1	1088					20269					5068			6_s.jpg		诺曼底登陆	战略点5					31	守备军	290	180	0		0	
1090	8	2	1089					20320							2			诺曼底登陆	清理雷区			28800	200	32						0	12
1091	8	3	1090					20307										诺曼底登陆	战利品					32						0	
1092	8	4	1090					20270			20296	15		31028		4_s.jpg		诺曼底登陆	战略点6					32	守备军	295	180	0	"80,50,0"	0	
1093	8	1	1092					20271					5070			1_s.jpg		诺曼底登陆	战略点7					33	守备军	300	180	0		0	
1094	8	4	1093					20272			20296	15		31029		5_s.jpg		诺曼底登陆	战略点8					33	守备军	305	180	0	"80,50,0"	0	
1095	8	1	1094					20273					5072			2_s.jpg		诺曼底登陆	战略点9					33	守备军	310	180	0		0	
1096	8	2	1095												1			诺曼底登陆	破碎的大桥	10000		28800	200	34						2	12
1097	8	4	1096					20274			20296	15		31030		6_s.jpg		诺曼底登陆	战略点10					34	守备军	315	180	0	"80,50,0"	0	
1098	8	3	1096					20308										诺曼底登陆	战利品					34						0	
1099	9	1						20275					5074			3_s.jpg		柏林保卫战	战略点1					34	守备军	320	180	0		0	
1100	9	4	1099					20276			20296	15		31031		1_s.jpg		柏林保卫战	战略点2					35	守备军	325	180	0	"80,50,0"	0	
1101	9	1	1100					20277					5076			4_s.jpg		柏林保卫战	战略点3					35	守备军	330	180	0		0	
1102	9	4	1101					20278			20296	15		31032		2_s.jpg		柏林保卫战	战略点4					35	守备军	335	180	0	"80,50,0"	0	
1103	9	1	1102					20279					5078			5_s.jpg		柏林保卫战	战略点5					36	守备军	340	180	0		0	
1104	9	2	1103												1			柏林保卫战	破碎的大桥	10000		28800	200	36						2	12
1105	9	3	1104					20309										柏林保卫战	战利品					36						0	
1106	9	4	1104					20280			20296	15		31033		3_s.jpg		柏林保卫战	战略点6					37	守备军	345	180	0	"80,50,0"	0	
1107	9	1	1106					20281					5080			6_s.jpg		柏林保卫战	战略点7					37	守备军	350	180	0		0	
1108	9	4	1107					20282			20296	15		31034		4_s.jpg		柏林保卫战	战略点8					37	守备军	355	180	0	"80,50,0"	0	
1109	9	1	1108					20283					5082			1_s.jpg		柏林保卫战	战略点9					37	守备军	360	180	0		0	
1110	9	2	1109					20321							2			柏林保卫战	清理雷区			28800	200	38						0	12
1111	9	4	1110					20284			20296	15		31035		5_s.jpg		柏林保卫战	战略点10					38	守备军	365	180	0	"80,50,0"	0	
1112	9	3	1110					20310										柏林保卫战	战利品					38						0	
1113	10	1						20285					5084			2_s.jpg		冲绳岛战役	战略点1					39	守备军	370	180	0		0	
1114	10	4	1113					20286			20296	15		31036		6_s.jpg		冲绳岛战役	战略点2					39	守备军	375	180	0	"80,50,0"	0	
1115	10	1	1114					20287					5086			3_s.jpg		冲绳岛战役	战略点3					39	守备军	380	180	0		0	
1116	10	4	1115					20288			20296	15		31037		1_s.jpg		冲绳岛战役	战略点4					40	守备军	385	180	0	"80,50,0"	0	
1117	10	1	1116					20289					5088			4_s.jpg		冲绳岛战役	战略点5					40	守备军	390	180	0		0	
1118	10	2	1117					20322							2			冲绳岛战役	清理雷区			28800	200	40						0	12
1119	10	3	1118					20311										冲绳岛战役	战利品					40						0	
1120	10	4	1118					20290			20296	15		31038		2_s.jpg		冲绳岛战役	战略点6					41	守备军	395	180	0	"80,50,0"	0	
1121	10	1	1120					20291					5090			5_s.jpg		冲绳岛战役	战略点7					41	守备军	400	180	0		0	
1122	10	4	1121					20292			20296	15		31039		3_s.jpg		冲绳岛战役	战略点8					41	守备军	405	180	0	"80,50,0"	0	
1123	10	1	1122					20293					5092			6_s.jpg		冲绳岛战役	战略点9					42	守备军	410	180	0		0	
1124	10	2	1123												1			冲绳岛战役	破碎的大桥	10000		28800	200	42						2	12
1125	10	4	1124					20294			20296	15		31040		4_s.jpg		冲绳岛战役	战略点10					42	守备军	415	180	0	"80,50,0"	0	
1126	10	3	1124					20312										冲绳岛战役	战利品					43						0	
