INT	STRING
238	哥斯达黎加
239	科特迪瓦
240	克罗地亚
241	古巴
242	塞浦路斯
243	捷克
244	丹麦
245	吉布提
246	多美尼加
247	厄瓜多尔
248	埃及
249	萨尔瓦多
250	赤道几内亚
251	厄立特里亚
252	爱沙尼亚
253	埃塞俄比亚
254	福兰克群岛
255	法罗群岛
256	斐济
257	芬兰
258	法国
259	波利尼西亚
260	加蓬
261	甘比亚
262	格鲁吉亚
263	德国
264	加纳
265	直布罗陀
266	希腊
267	格陵兰
268	格林纳达
269	关岛
270	危地马拉
271	格恩西岛
272	几内亚
273	几内亚比绍
274	圭亚那
275	海地
276	洪都拉斯
277	匈牙利
278	冰岛
279	印度
280	印尼
281	伊朗
282	伊拉克
283	爱尔兰
284	以色列
285	意大利
286	牙买加
287	俄罗斯
288	约旦
289	哈萨克斯坦
290	肯尼亚
291	基里巴斯
292	朝鲜
293	韩国
294	科威特
295	吉尔吉斯坦
296	老挝
297	拉脱维亚
298	黎巴嫩
299	莱索托
300	利比里亚
301	利比亚
302	列支敦士登
303	立陶宛
304	卢森堡
305	马其顿
306	马达加斯加
307	马拉维
308	马来西亚
309	马尔代夫
310	马里
311	马耳他
312	马绍尔群岛
313	毛里塔尼亚
314	毛里求斯
315	马约特岛
316	墨西哥
317	摩尔多瓦
318	摩纳哥
319	蒙古
320	黑山
321	摩洛哥
322	莫桑比克
323	纳米比亚
324	瑙鲁
325	尼泊尔
326	安地列斯
327	荷兰
328	新西兰
329	尼加拉瓜
330	尼日尔
331	尼日利亚
332	诺福克岛
333	挪威
334	阿曼
335	巴基斯坦
336	帕劳
337	巴拿马
338	巴拉圭
339	秘鲁
340	波兰
341	葡萄牙
342	卡塔尔
343	罗马尼亚
344	俄罗斯
345	卢旺达
346	圣卢西亚
347	萨摩亚群岛
348	圣马力诺
349	沙特
350	塞内加尔
351	塞尔维亚
352	塞舌尔
353	塞拉利昂
354	新加坡
355	斯洛伐克
356	斯洛文尼亚
357	所罗门岛
358	索马里
359	南非
360	西班牙
361	苏丹
362	苏里南
363	斯威士兰
364	瑞典
365	瑞士
366	叙利亚
367	塔吉克斯坦
368	坦桑尼亚
369	泰国
370	多哥
371	汤加
372	突尼斯
373	土耳其
374	土库曼斯坦
375	图瓦卢
376	乌干达
377	乌克兰
378	阿联酋
379	英国
380	乌拉圭
381	瓦努阿图
382	委内瑞拉
383	越南
384	也门
385	赞比亚
386	津巴布韦
387	阿根廷
388	阿根廷
389	阿根廷
390	阿根廷
391	阿根廷
392	法国
393	法国
394	法国
395	法国
396	法国
397	德国
398	德国
399	德国
400	德国
401	德国
402	意大利
403	意大利
404	意大利
405	意大利
406	意大利
407	葡萄牙
408	葡萄牙
409	葡萄牙
410	葡萄牙
411	葡萄牙
412	俄罗斯
413	俄罗斯
414	俄罗斯
415	俄罗斯
416	俄罗斯
417	西班牙
418	西班牙
419	西班牙
420	西班牙
421	西班牙
422	英国
423	英国
424	英国
425	英国
426	英国
427	英国
428	俄罗斯
429	阿根廷
430	阿根廷
431	阿根廷
432	阿根廷
433	阿根廷
434	法国
435	法国
436	法国
437	法国
438	法国
439	德国
440	德国
441	德国
442	德国
443	德国
444	意大利
445	意大利
446	意大利
447	意大利
448	意大利
449	葡萄牙
450	葡萄牙
451	葡萄牙
452	葡萄牙
453	葡萄牙
454	俄罗斯
455	俄罗斯
456	俄罗斯
457	俄罗斯
458	俄罗斯
459	西班牙
460	西班牙
461	西班牙
462	西班牙
463	西班牙
464	英国
465	英国
466	英国
467	英国
468	英国
