INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
805	npc_B1	450	50001	6	0	0	1000	-13	19	1	0
806	npc_B1	451	50001	6	0	0	1000	17	-4	1	0
807	npc_B1	452	50001	6	0	0	1000	17	-5	1	719
808	npc_B1	453	50001	6	0	0	1000	17	-6	1	0
809	npc_B1	454	50001	6	0	0	1000	17	-7	1	0
810	npc_B1	455	50001	6	0	0	1000	17	-8	1	0
811	npc_B1	456	50001	6	0	0	1000	17	-9	1	0
812	npc_B1	457	50001	6	0	0	1000	17	-10	1	0
813	npc_B1	458	50001	6	0	0	1000	17	-11	1	0
814	npc_B1	459	50001	6	0	0	1000	17	-12	1	0
815	npc_B1	460	50001	6	0	0	1000	17	-13	1	0
816	npc_B1	461	50001	6	0	0	1000	17	-14	1	0
817	npc_B1	462	50001	6	0	0	1000	17	-15	1	0
818	npc_B1	463	50001	6	0	0	1000	17	-16	1	0
819	npc_B1	464	50001	6	0	0	1000	17	-17	1	0
820	npc_B1	465	50001	6	0	0	1000	16	-17	1	0
821	npc_B1	466	50001	6	0	0	1000	15	-17	1	1810
822	npc_B1	467	50001	6	0	0	1000	14	-17	1	0
823	npc_B1	468	50001	6	0	0	1000	13	-17	1	0
824	npc_B1	469	50001	6	0	0	1000	12	-17	1	0
825	npc_B1	470	50001	6	0	0	1000	11	-17	1	0
826	npc_B1	471	50001	6	0	0	1000	10	-17	1	0
827	npc_B1	472	50001	6	0	0	1000	9	-17	1	480
828	npc_B1	473	50001	6	0	0	1000	8	-17	1	0
829	npc_B1	474	50001	6	0	0	1000	7	-17	1	0
830	npc_B1	475	50001	6	0	0	1000	6	-17	1	0
831	npc_B1	476	50001	6	0	0	1000	5	-17	1	0
832	npc_B1	477	50001	6	0	0	1000	4	-17	1	0
833	npc_B1	478	50001	6	0	0	1000	3	-17	1	0
834	npc_B1	479	50001	6	0	0	1000	2	-17	1	0
835	npc_B1	480	50001	6	0	0	1000	1	-17	1	0
836	npc_B1	481	50001	6	0	0	1000	0	-17	1	0
837	npc_B1	482	50001	6	0	0	1000	-1	-17	1	0
838	npc_B1	483	50001	6	0	0	1000	-2	-17	1	0
839	npc_B1	484	50001	6	0	0	1000	-3	-17	1	0
840	npc_B1	485	50001	6	0	0	1000	-4	-17	1	0
841	npc_B1	486	50001	6	0	0	1000	-5	-17	1	0
842	npc_B1	487	50001	6	0	0	1000	-6	-17	1	0
843	npc_B1	488	50001	6	0	0	1000	-7	-17	1	0
844	npc_B1	489	50001	6	0	0	1000	-8	-17	1	316
845	npc_B1	490	50001	6	0	0	1000	-9	-17	1	0
846	npc_B1	491	50001	6	0	0	1000	-10	-17	1	0
847	npc_B1	492	50001	6	0	0	1000	-11	-17	1	0
848	npc_B1	493	50001	6	0	0	1000	-12	-17	1	0
849	npc_B1	494	50001	6	0	0	1000	-13	-17	1	0
850	npc_B1	495	50001	6	0	0	1000	-13	4	1	2502
851	npc_B1	496	50001	6	0	0	1000	-13	3	1	465
852	npc_B1	497	50001	6	0	0	1000	-13	1	1	0
853	npc_B1	498	50001	6	0	0	1000	-13	2	1	0
854	npc_B1	499	50001	6	0	0	1000	-13	0	1	0
855	npc_B1	500	50001	6	0	0	1000	-13	-1	1	0
856	npc_B1	501	50001	6	0	0	1000	-13	-2	1	0
857	npc_B1	502	50001	6	0	0	1000	-13	-3	1	0
858	npc_B1	503	50001	6	0	0	1000	-13	-4	1	0
859	npc_B1	504	50001	6	0	0	1000	-13	-5	1	0
860	npc_B1	505	50001	6	0	0	1000	-13	-6	1	0
861	npc_B1	506	50001	6	0	0	1000	-13	-7	1	0
862	npc_B1	507	50001	6	0	0	1000	-13	-8	1	0
863	npc_B1	508	50001	6	0	0	1000	-13	-9	1	0
864	npc_B1	509	50001	6	0	0	1000	-13	-10	1	0
865	npc_B1	510	50001	6	0	0	1000	-13	-11	1	0
866	npc_B1	511	50001	6	0	0	1000	-13	-12	1	0
867	npc_B1	512	50001	6	0	0	1000	-13	-13	1	0
868	npc_B1	513	50001	6	0	0	1000	-13	-14	1	0
869	npc_B1	514	50001	6	0	0	1000	-13	-15	1	0
870	npc_B1	515	50001	6	0	0	1000	-13	-16	1	0
871	npc_B1	516	20004	2	1	0	1400	5	-14	1	894117
872	npc_B1	517	40001	6	1	1	12000	-1	17	1	900000
873	npc_B1	518	40002	6	1	1	12000	-12	15	1	881180
874	npc_B1	521	40003	6	0	1	15000	-12	0	1	17997469
875	npc_B1	525	40002	6	1	1	12000	13	17	1	886980
876	npc_B1	526	40001	6	1	0	12000	-8	-16	1	899232
877	npc_B1	527	40002	6	1	0	12000	13	-16	1	899469
878	npc_B1	528	50001	6	0	0	1000	3	18	1	0
886	npc_B1_ABTEST	40	30001	7	0	0	8000	5	-8	1	1798001
887	npc_B1_ABTEST	198	40001	6	0	0	6000	1	0	1	899293
888	npc_B1_ABTEST	368	30002	3	0	0	4000	-7	0	1	14923
889	npc_B1_ABTEST	1	10001	5	2	1	20000	-5	-10	1	598374
1024	npc_B1_ABTEST	367	60003	4	0	0	0	24	-29	1	9000
1025	npc_B1_ABTEST	369	60008	4	0	0	0	-12	-12	1	9000
1026	npc_B1_ABTEST	370	60008	4	0	0	0	-12	-8	1	9000
1027	npc_B1_ABTEST	371	60008	4	0	0	0	-12	-4	1	9000
1028	npc_B1_ABTEST	372	60008	4	0	0	0	-12	-16	1	9000
1029	npc_B1_ABTEST	373	20001	0	0	0	750	1	11	1	0
1030	npc_B1_ABTEST	374	20001	0	0	0	750	1	5	1	0
1031	npc_B1_ABTEST	375	20002	1	0	0	750	7	11	1	0
1032	npc_B1_ABTEST	376	20002	1	0	0	750	7	5	1	0
1033	npc_B1_ABTEST	377	50001	6	0	0	1000	17	3	1	0
1034	npc_B1_ABTEST	378	50001	6	0	0	1000	17	2	1	0
1035	npc_B1_ABTEST	379	50001	6	0	0	1000	17	1	1	0
1036	npc_B1_ABTEST	380	50001	6	0	0	1000	17	0	1	0
1037	npc_B1_ABTEST	381	50001	6	0	0	1000	17	-1	1	0
1038	npc_B1_ABTEST	382	50001	6	0	0	1000	17	-2	1	0
1039	npc_B1_ABTEST	383	50001	6	0	0	1000	17	-3	1	0
1040	npc_B1_ABTEST	384	40002	6	0	0	6000	-1	-14	1	863174
1041	npc_B1_ABTEST	385	20003	2	0	0	750	-8	13	1	899051
1042	npc_B1_ABTEST	386	50001	6	0	0	1000	17	4	1	0
1043	npc_B1_ABTEST	387	50001	6	0	0	1000	17	5	1	3000
1044	npc_B1_ABTEST	388	50001	6	0	0	1000	17	6	1	2060
1045	npc_B1_ABTEST	389	50001	6	0	0	1000	17	7	1	0
1046	npc_B1_ABTEST	390	50001	6	0	0	1000	17	8	1	2909
1047	npc_B1_ABTEST	391	50001	6	0	0	1000	17	9	1	0
1048	npc_B1_ABTEST	392	50001	6	0	0	1000	17	10	1	3000
1049	npc_B1_ABTEST	393	50001	6	0	0	1000	17	11	1	1870
1050	npc_B1_ABTEST	394	50001	6	0	0	1000	17	12	1	0
1051	npc_B1_ABTEST	395	40002	6	0	0	6000	13	4	1	878880
1052	npc_B1_ABTEST	396	50001	6	0	0	1000	17	13	1	0
1053	npc_B1_ABTEST	397	50001	6	0	0	1000	17	14	1	0
1054	npc_B1_ABTEST	398	50001	6	0	0	1000	17	16	1	0
1055	npc_B1_ABTEST	399	50001	6	0	0	1000	17	15	1	0
1056	npc_B1_ABTEST	400	50001	6	0	0	1000	-8	21	1	0
1057	npc_B1_ABTEST	401	50001	6	0	0	1000	-6	21	1	0
1058	npc_B1_ABTEST	402	50001	6	0	0	1000	-7	21	1	0
1059	npc_B1_ABTEST	403	50001	6	0	0	1000	-5	21	1	0
1060	npc_B1_ABTEST	404	50001	6	0	0	1000	-4	21	1	0
1061	npc_B1_ABTEST	405	50001	6	0	0	1000	-9	21	1	0
1062	npc_B1_ABTEST	406	50001	6	0	0	1000	-3	21	1	0
1063	npc_B1_ABTEST	407	50001	6	0	0	1000	-2	21	1	0
1064	npc_B1_ABTEST	408	50001	6	0	0	1000	0	21	1	0
1065	npc_B1_ABTEST	409	50001	6	0	0	1000	-1	21	1	0
1066	npc_B1_ABTEST	410	50001	6	0	0	1000	1	21	1	0
1067	npc_B1_ABTEST	411	50001	6	0	0	1000	2	21	1	1406
1068	npc_B1_ABTEST	412	50001	6	0	0	1000	3	21	1	0
1069	npc_B1_ABTEST	413	50001	6	0	0	1000	12	19	1	0
1070	npc_B1_ABTEST	417	50001	6	0	0	1000	3	20	1	0
1071	npc_B1_ABTEST	418	50001	6	0	0	1000	12	18	1	0
1072	npc_B1_ABTEST	419	50001	6	0	0	1000	12	20	1	0
1073	npc_B1_ABTEST	420	50001	6	0	0	1000	17	17	1	704
1074	npc_B1_ABTEST	421	50001	6	0	0	1000	17	18	1	0
1075	npc_B1_ABTEST	422	50001	6	0	0	1000	3	19	1	0
1076	npc_B1_ABTEST	423	50001	6	0	0	1000	12	21	1	0
1077	npc_B1_ABTEST	424	50001	6	0	0	1000	13	21	1	0
1078	npc_B1_ABTEST	425	50001	6	0	0	1000	14	21	1	0
1079	npc_B1_ABTEST	426	50001	6	0	0	1000	15	21	1	0
1080	npc_B1_ABTEST	427	50001	6	0	0	1000	16	21	1	0
1081	npc_B1_ABTEST	428	50001	6	0	0	1000	17	19	1	0
1082	npc_B1_ABTEST	429	50001	6	0	0	1000	-13	7	1	0
1083	npc_B1_ABTEST	430	50001	6	0	0	1000	-13	6	1	0
1084	npc_B1_ABTEST	431	50001	6	0	0	1000	17	21	1	0
1085	npc_B1_ABTEST	432	50001	6	0	0	1000	-13	5	1	0
1086	npc_B1_ABTEST	433	50001	6	0	0	1000	-13	9	1	0
1087	npc_B1_ABTEST	434	50001	6	0	0	1000	-13	8	1	0
1088	npc_B1_ABTEST	435	50001	6	0	0	1000	-13	10	1	0
1089	npc_B1_ABTEST	436	50001	6	0	0	1000	-13	12	1	0
1090	npc_B1_ABTEST	437	50001	6	0	0	1000	-13	11	1	0
1091	npc_B1_ABTEST	438	50001	6	0	0	1000	-13	13	1	0
1092	npc_B1_ABTEST	439	50001	6	0	0	1000	-13	14	1	0
1093	npc_B1_ABTEST	440	50001	6	0	0	1000	-13	15	1	0
1094	npc_B1_ABTEST	441	50001	6	0	0	1000	-13	16	1	0
1095	npc_B1_ABTEST	442	50001	6	0	0	1000	-13	17	1	0
1096	npc_B1_ABTEST	443	50001	6	0	0	1000	-12	21	1	0
1097	npc_B1_ABTEST	444	50001	6	0	0	1000	-13	21	1	0
1098	npc_B1_ABTEST	445	50001	6	0	0	1000	-11	21	1	0
1099	npc_B1_ABTEST	446	50001	6	0	0	1000	-10	21	1	0
1100	npc_B1_ABTEST	447	50001	6	0	0	1000	-13	18	1	0
1101	npc_B1_ABTEST	448	50001	6	0	0	1000	17	20	1	0
1102	npc_B1_ABTEST	449	50001	6	0	0	1000	-13	20	1	0
1103	npc_B1_ABTEST	450	50001	6	0	0	1000	-13	19	1	0
1104	npc_B1_ABTEST	451	50001	6	0	0	1000	17	-4	1	0
1105	npc_B1_ABTEST	452	50001	6	0	0	1000	17	-5	1	719
1106	npc_B1_ABTEST	453	50001	6	0	0	1000	17	-6	1	0
1107	npc_B1_ABTEST	454	50001	6	0	0	1000	17	-7	1	0
1108	npc_B1_ABTEST	455	50001	6	0	0	1000	17	-8	1	0
1109	npc_B1_ABTEST	456	50001	6	0	0	1000	17	-9	1	0
1110	npc_B1_ABTEST	457	50001	6	0	0	1000	17	-10	1	0
1111	npc_B1_ABTEST	458	50001	6	0	0	1000	17	-11	1	0
1112	npc_B1_ABTEST	459	50001	6	0	0	1000	17	-12	1	0
1113	npc_B1_ABTEST	460	50001	6	0	0	1000	17	-13	1	0
1114	npc_B1_ABTEST	461	50001	6	0	0	1000	17	-14	1	0
1115	npc_B1_ABTEST	462	50001	6	0	0	1000	17	-15	1	0
1116	npc_B1_ABTEST	463	50001	6	0	0	1000	17	-16	1	0
1117	npc_B1_ABTEST	464	50001	6	0	0	1000	17	-17	1	0
1118	npc_B1_ABTEST	465	50001	6	0	0	1000	16	-17	1	0
1119	npc_B1_ABTEST	466	50001	6	0	0	1000	15	-17	1	1810
1120	npc_B1_ABTEST	467	50001	6	0	0	1000	14	-17	1	0
1121	npc_B1_ABTEST	468	50001	6	0	0	1000	13	-17	1	0
1122	npc_B1_ABTEST	469	50001	6	0	0	1000	12	-17	1	0
1123	npc_B1_ABTEST	470	50001	6	0	0	1000	11	-17	1	0
1124	npc_B1_ABTEST	471	50001	6	0	0	1000	10	-17	1	0
1125	npc_B1_ABTEST	472	50001	6	0	0	1000	9	-17	1	480
1126	npc_B1_ABTEST	473	50001	6	0	0	1000	8	-17	1	0
1127	npc_B1_ABTEST	474	50001	6	0	0	1000	7	-17	1	0
1128	npc_B1_ABTEST	475	50001	6	0	0	1000	6	-17	1	0
1129	npc_B1_ABTEST	476	50001	6	0	0	1000	5	-17	1	0
1130	npc_B1_ABTEST	477	50001	6	0	0	1000	4	-17	1	0
1131	npc_B1_ABTEST	478	50001	6	0	0	1000	3	-17	1	0
1132	npc_B1_ABTEST	479	50001	6	0	0	1000	2	-17	1	0
1133	npc_B1_ABTEST	480	50001	6	0	0	1000	1	-17	1	0
1134	npc_B1_ABTEST	481	50001	6	0	0	1000	0	-17	1	0
1135	npc_B1_ABTEST	482	50001	6	0	0	1000	-1	-17	1	0
1136	npc_B1_ABTEST	483	50001	6	0	0	1000	-2	-17	1	0
1137	npc_B1_ABTEST	484	50001	6	0	0	1000	-3	-17	1	0
1138	npc_B1_ABTEST	485	50001	6	0	0	1000	-4	-17	1	0
1139	npc_B1_ABTEST	486	50001	6	0	0	1000	-5	-17	1	0
1140	npc_B1_ABTEST	487	50001	6	0	0	1000	-6	-17	1	0
1141	npc_B1_ABTEST	488	50001	6	0	0	1000	-7	-17	1	0
1142	npc_B1_ABTEST	489	50001	6	0	0	1000	-8	-17	1	316
1143	npc_B1_ABTEST	490	50001	6	0	0	1000	-9	-17	1	0
1144	npc_B1_ABTEST	491	50001	6	0	0	1000	-10	-17	1	0
1145	npc_B1_ABTEST	492	50001	6	0	0	1000	-11	-17	1	0
1146	npc_B1_ABTEST	493	50001	6	0	0	1000	-12	-17	1	0
1147	npc_B1_ABTEST	494	50001	6	0	0	1000	-13	-17	1	0
1148	npc_B1_ABTEST	495	50001	6	0	0	1000	-13	4	1	2502
1149	npc_B1_ABTEST	496	50001	6	0	0	1000	-13	3	1	465
1150	npc_B1_ABTEST	497	50001	6	0	0	1000	-13	1	1	0
1151	npc_B1_ABTEST	498	50001	6	0	0	1000	-13	2	1	0
1152	npc_B1_ABTEST	499	50001	6	0	0	1000	-13	0	1	0
1153	npc_B1_ABTEST	500	50001	6	0	0	1000	-13	-1	1	0
1154	npc_B1_ABTEST	501	50001	6	0	0	1000	-13	-2	1	0
1155	npc_B1_ABTEST	502	50001	6	0	0	1000	-13	-3	1	0
1156	npc_B1_ABTEST	503	50001	6	0	0	1000	-13	-4	1	0
1157	npc_B1_ABTEST	504	50001	6	0	0	1000	-13	-5	1	0
1158	npc_B1_ABTEST	505	50001	6	0	0	1000	-13	-6	1	0
1159	npc_B1_ABTEST	506	50001	6	0	0	1000	-13	-7	1	0
1160	npc_B1_ABTEST	507	50001	6	0	0	1000	-13	-8	1	0
1161	npc_B1_ABTEST	508	50001	6	0	0	1000	-13	-9	1	0
1162	npc_B1_ABTEST	509	50001	6	0	0	1000	-13	-10	1	0
1163	npc_B1_ABTEST	510	50001	6	0	0	1000	-13	-11	1	0
1164	npc_B1_ABTEST	511	50001	6	0	0	1000	-13	-12	1	0
1165	npc_B1_ABTEST	512	50001	6	0	0	1000	-13	-13	1	0
1166	npc_B1_ABTEST	513	50001	6	0	0	1000	-13	-14	1	0
1167	npc_B1_ABTEST	514	50001	6	0	0	1000	-13	-15	1	0
1168	npc_B1_ABTEST	515	50001	6	0	0	1000	-13	-16	1	0
1169	npc_B1_ABTEST	516	20004	2	1	0	1400	5	-14	1	894117
1170	npc_B1_ABTEST	517	40001	6	0	1	6000	-1	17	1	900000
1171	npc_B1_ABTEST	518	40002	6	0	1	6000	-12	15	1	881180
1172	npc_B1_ABTEST	521	40003	6	0	1	15000	-12	0	1	17997469
1173	npc_B1_ABTEST	525	40002	6	0	1	6000	13	17	1	886980
1174	npc_B1_ABTEST	526	40001	6	0	0	6000	-8	-16	1	899232
1175	npc_B1_ABTEST	527	40002	6	0	0	6000	13	-16	1	899469
1176	npc_B1_ABTEST	528	50001	6	0	0	1000	3	18	1	0
1184	npc_B2	40	30001	7	0	0	8000	5	-8	1	1798001
1185	npc_B2	198	40001	6	2	0	17000	1	0	1	2696138
1186	npc_B2	368	30002	3	0	0	4000	-7	0	1	14923
1187	npc_B2	1	10001	5	2	1	20000	-5	-10	1	598374
1321	npc_B2	367	60003	4	0	0	0	24	-29	1	9000
1322	npc_B2	373	20001	0	1	0	1500	1	11	1	0
1323	npc_B2	374	20001	0	1	0	1500	1	5	1	0
1324	npc_B2	375	20002	1	1	0	1500	7	11	1	0
1325	npc_B2	376	20002	1	1	0	1500	7	5	1	0
1326	npc_B2	377	50001	6	0	0	1000	17	3	1	0
1327	npc_B2	378	50001	6	0	0	1000	17	2	1	0
1328	npc_B2	379	50001	6	0	0	1000	17	1	1	0
1329	npc_B2	380	50001	6	0	0	1000	17	0	1	0
1330	npc_B2	381	50001	6	0	0	1000	17	-1	1	0
1331	npc_B2	382	50001	6	0	0	1000	17	-2	1	0
1332	npc_B2	383	50001	6	0	0	1000	17	-3	1	0
1333	npc_B2	384	40002	6	2	0	17000	-1	-14	1	2684097
1334	npc_B2	385	20003	2	2	0	2550	-8	13	1	1345099
1335	npc_B2	386	50001	6	0	0	1000	17	4	1	0
1336	npc_B2	387	50001	6	0	0	1000	17	5	1	3000
1337	npc_B2	388	50001	6	0	0	1000	17	6	1	2060
1338	npc_B2	389	50001	6	0	0	1000	17	7	1	0
1339	npc_B2	390	50001	6	0	0	1000	17	8	1	2909
1340	npc_B2	391	50001	6	0	0	1000	17	9	1	0
1341	npc_B2	392	50001	6	0	0	1000	17	10	1	3000
1342	npc_B2	393	50001	6	0	0	1000	17	11	1	1870
1343	npc_B2	394	50001	6	0	0	1000	17	12	1	0
1344	npc_B2	395	40002	6	2	0	17000	13	4	1	2687215
1345	npc_B2	396	50001	6	0	0	1000	17	13	1	0
1346	npc_B2	397	50001	6	0	0	1000	17	14	1	0
1347	npc_B2	398	50001	6	0	0	1000	17	16	1	0
1348	npc_B2	399	50001	6	0	0	1000	17	15	1	0
1349	npc_B2	400	50001	6	0	0	1000	-8	21	1	0
1350	npc_B2	401	50001	6	0	0	1000	-6	21	1	0
1351	npc_B2	402	50001	6	0	0	1000	-7	21	1	0
1352	npc_B2	403	50001	6	0	0	1000	-5	21	1	0
1353	npc_B2	404	50001	6	0	0	1000	-4	21	1	0
1354	npc_B2	405	50001	6	0	0	1000	-9	21	1	0
1355	npc_B2	406	50001	6	0	0	1000	-3	21	1	0
1356	npc_B2	407	50001	6	0	0	1000	-2	21	1	0
1357	npc_B2	408	50001	6	0	0	1000	0	21	1	0
1358	npc_B2	409	50001	6	0	0	1000	-1	21	1	0
1359	npc_B2	410	50001	6	0	0	1000	1	21	1	0
1360	npc_B2	411	50001	6	0	0	1000	2	21	1	1406
1361	npc_B2	412	50001	6	0	0	1000	3	21	1	0
1362	npc_B2	413	50001	6	0	0	1000	12	19	1	0
1363	npc_B2	417	50001	6	0	0	1000	3	20	1	0
1364	npc_B2	418	50001	6	0	0	1000	12	18	1	0
1365	npc_B2	419	50001	6	0	0	1000	12	20	1	0
1366	npc_B2	420	50001	6	0	0	1000	17	17	1	704
1367	npc_B2	421	50001	6	0	0	1000	17	18	1	0
1368	npc_B2	422	50001	6	0	0	1000	3	19	1	0
1369	npc_B2	423	50001	6	0	0	1000	12	21	1	0
1370	npc_B2	424	50001	6	0	0	1000	13	21	1	0
1371	npc_B2	425	50001	6	0	0	1000	14	21	1	0
1372	npc_B2	426	50001	6	0	0	1000	15	21	1	0
1373	npc_B2	427	50001	6	0	0	1000	16	21	1	0
1374	npc_B2	428	50001	6	0	0	1000	17	19	1	0
1375	npc_B2	429	50001	6	0	0	1000	-13	7	1	0
1376	npc_B2	430	50001	6	0	0	1000	-13	6	1	0
1377	npc_B2	431	50001	6	0	0	1000	17	21	1	0
1378	npc_B2	432	50001	6	0	0	1000	-13	5	1	0
1379	npc_B2	433	50001	6	0	0	1000	-13	9	1	0
1380	npc_B2	434	50001	6	0	0	1000	-13	8	1	0
1381	npc_B2	435	50001	6	0	0	1000	-13	10	1	0
1382	npc_B2	436	50001	6	0	0	1000	-13	12	1	0
1383	npc_B2	437	50001	6	0	0	1000	-13	11	1	0
1384	npc_B2	438	50001	6	0	0	1000	-13	13	1	0
1385	npc_B2	439	50001	6	0	0	1000	-13	14	1	0
1386	npc_B2	440	50001	6	0	0	1000	-13	15	1	0
1387	npc_B2	441	50001	6	0	0	1000	-13	16	1	0
1388	npc_B2	442	50001	6	0	0	1000	-13	17	1	0
1389	npc_B2	443	50001	6	0	0	1000	-12	21	1	0
1390	npc_B2	444	50001	6	0	0	1000	-13	21	1	0
1391	npc_B2	445	50001	6	0	0	1000	-11	21	1	0
1392	npc_B2	446	50001	6	0	0	1000	-10	21	1	0
1393	npc_B2	447	50001	6	0	0	1000	-13	18	1	0
1394	npc_B2	448	50001	6	0	0	1000	17	20	1	0
1395	npc_B2	449	50001	6	0	0	1000	-13	20	1	0
1396	npc_B2	450	50001	6	0	0	1000	-13	19	1	0
1397	npc_B2	451	50001	6	0	0	1000	17	-4	1	0
1398	npc_B2	452	50001	6	0	0	1000	17	-5	1	719
1399	npc_B2	453	50001	6	0	0	1000	17	-6	1	0
1400	npc_B2	454	50001	6	0	0	1000	17	-7	1	0
1401	npc_B2	455	50001	6	0	0	1000	17	-8	1	0
1402	npc_B2	456	50001	6	0	0	1000	17	-9	1	0
1403	npc_B2	457	50001	6	0	0	1000	17	-10	1	0
1404	npc_B2	458	50001	6	0	0	1000	17	-11	1	0
1405	npc_B2	459	50001	6	0	0	1000	17	-12	1	0
1406	npc_B2	460	50001	6	0	0	1000	17	-13	1	0
